binomial,BEs
Bokermannohyla pseudopseudis,3
Leptodactylus tapiti,3
Proceratophrys bagnoi,3
Proceratophrys rotundipalpebra,3
Scinax rupestris*,3
Allobates brunneus,4
Ameerega braccata,4
Amphisbaena brevis,4
Amphisbaena neglecta,4
Apostolepis lineata,4
Monodelphis sanctaerosae,4
Proceratophrys huntingtoni,4
Alipiopsitta xanthops,5
Antilophia galeata,5
Bothrops moojeni,5
Cyanocorax cristatellus,5
Epicrates crassus,5
Herpsilochmus longirostris,5
Saltatricula atricollis,5
Amphisbaena absaberi,6
Apostolepis christineae,6
Helicops boitata*,6
Liotyphlops taylori*,6
Oreobates heterodactylus,6
Hylaeamys acritus,7
Juscelinomys huanchacae,7
Sporophila nigrorufa,7
Tropidurus callathelys,7
Tropidurus chromatops,7
Leposternon maximus,8
Phalotris cerradensis*,8
Psilops seductus*,8
Scinax goya*,8
Bokermannohyla sagarana,9
Calassomys apicalis,9
Gymnodactylus guttulatus,9
Scinax cabralensis,9
Bokermannohyla sapiranga,10
Physalaemus atim*,10
Proceratophrys salvatori,10
Scinax centralis,10
Apostolepis albicollaris,11
Euryoryzomys lamia,11
Pithecopus oreades,11
Proceratophrys goyana,11
Charitospiza eucosma,12
Melanopareia torquata,12
Neothraupis fasciata,12
Porphyrospiza caerulescens,12
Enyalius capetinga*,13
Juscelinomys candango,13
Microakodontomys transitorius,13
Ameiva jacuba,14
Dendropsophus araguaya,14
Pseudopaludicola ibisoroca*,14
Boana stenocephala,15
Odontophrynus monachus,15
Stenocercus canastra*,15
Amphisbaena carli,16
Amphisbaena persephone*,16
Oreobates antrum*,16
Aplastodiscus lutzorum*,17
Boana goiana,17
Scinax skaios,17
Amphisbaena acrobeles,18
Bachia oxyrhina,18
Siagonodon acutirostris,18
Bokermannohyla ibitiguara,19
Scinax canastrensis,19
Scinax pombali,19
Boana jaguariaivensis,20
Oxymycterus itapeby,20
Scinax rossaferesae*,20
Calomys tocantinsi,21
Paroaria baeri,21
Synallaxis simoni,21
