binomial,BEs
Adenomera cotuba*,0
Akodon lindberghi,0
Ameerega berohoka,0
Ameerega flavopicta,0
Ameivula jalapensis,0
Ameivula mumbuca,0
Amphisbaena anaemariae,0
Amphisbaena bedai,0
Amphisbaena crisae,0
Amphisbaena cuiabana,0
Amphisbaena leeseri,0
Amphisbaena maranhensis,0
Amphisbaena mebengokre*,0
Amphisbaena sanctaeritae,0
Amphisbaena silvestrii,0
Amphisbaena steindachneri,0
Amphisbaena talisiae,0
Anolis meridionalis,0
Apostolepis adhara*,0
Apostolepis barrioi*,0
Apostolepis flavotorquata,0
Apostolepis goiasensis,0
Apostolepis intermedia,0
Apostolepis kikoi*,0
Apostolepis longicaudata,0
Apostolepis nelsonjorgei,0
Apostolepis phillipsae*,0
Apostolepis polylepis,0
Apostolepis sanctaeritae*,0
Apostolepis serrana,0
Apostolepis tertulianobeui*,0
Apostolepis vittata,0
Atractus albuquerquei,0
Atractus pantostictus*,0
Atractus stygius*,0
Bachia bresslaui,0
Bachia cacerensis,0
Bachia micromela,0
Boana botumirim,0
Bokermannohyla izecksohni,0
Bokermannohyla ravida,0
Callithrix penicillata,0
Carterodon sulcidens,0
Cercomacra ferdinandi,0
Cerradomys akroai,0
Cerradomys marinhus,0
Cerradomys scotti,0
Chiasmocleis centralis,0
Chironius brazili*,0
Clyomys laticeps,0
Coleodactylus brachystoma,0
Columbina cyanopis,0
Conothraupis mesoleuca,0
Crossodactylus franciscanus*,0
Ctenomys bicolor,0
Dendropsophus cerradensis,0
Dendropsophus cruzi,0
Dendropsophus jimi,0
Dendropsophus rhea,0
Dendropsophus rubicundulus,0
Dendropsophus tritaeniatus,0
Drymoluber brazili,0
Elachistocleis bumbameuboi,0
Epictia clinorostris*,0
Erythrolamprus maryellenae,0
Euscarthmus rufomarginatus,0
Galea flavidens,0
Geositta poeciloptera,0
Gyldenstolpia planaltensis,0
Gymnodactylus amarali,0
Helicops phantasma*,0
Heterodactylus lundii,0
Holochilus sciureus,0
Hoplocercus spinosus,0
Hydropsalis candicans,0
Ischnocnema penaxavantinho,0
Kentropyx paulensis,0
Kentropyx vanzoi,0
Kerodon acrobata,0
Knipolegus franciscanus,0
Kunsia tomentosus,0
Laterallus xenopterus,0
Leposternon cerradensis,0
Leposternon mineiro*,0
Leptodactylus brevipes*,0
Leptodactylus cunicularius,0
Leptodactylus furnarius,0
Leptodactylus kilombo*,0
Leptodactylus sertanejo,0
Liotyphlops schubarti,0
Lonchophylla dekeyseri,0
Lygophis paucidens,0
Manciola guaporicola,0
Micrablepharus atticolus,0
Micrurus brasiliensis,0
Monodelphis kunsi,0
Nyctiprogne vielliardi,0
Nystalus striatipectus,0
Odontophrynus cultripes,0
Oecomys cleberi,0
Oligoryzomys moojeni,0
Oligoryzomys rupestris,0
Oreobates remotus,0
Oxymycterus delator,0
Penelope ochrogaster,0
Phaethornis nattereri,0
Phalotris concolor,0
Phalotris matogrossensis,0
Phalotris multipunctatus,0
Phalotris nasutus,0
Philodryas livida,0
Philodryas mattogrossensis,0
Phyllomyias reiseri,0
Phyllomys centralis,0
Phylloscartes roquettei,0
Physalaemus marmoratus,0
Pithecopus araguaius*,0
Pithecopus ayeaye,0
Pithecopus centralis,0
Pristimantis dundeei,0
Proceratophrys branti,0
Proceratophrys carranca,0
Proceratophrys dibernardoi,0
Proceratophrys moratoi,0
Proceratophrys strussmannae,0
Pseudopaludicola atragula*,0
Pseudopaludicola coracoralinae*,0
Pseudopaludicola facureae*,0
Pseudopaludicola jazmynmcdonaldae*,0
Pseudopaludicola ternetzi*,0
Pyrrhura pfrimeri,0
Rhinella cerradensis,0
Rhinella ocellata,0
Rhinella veredas,0
Rhipidomys ipukensis,0
Rhipidomys macrurus,0
Salvator duseni,0
Scinax constrictus,0
Scinax haddadorum*,0
Scinax maracaya,0
Scinax rogerioi,0
Stenocercus sinesaccus,0
Syndactyla dimidiata,0
Taoniscus nanus,0
